X Y Z D C K
0 0 0 1000 156 1
0.0025 0 0 1000 156 1
0.005 0 0 1000 156 1
0.0075 0 0 1000 156 1
0.01 0 0 1000 156 1
0.0125 0 0 1000 156 1
0.015 0 0 1850 529.5 452
0.0175 0 0 2700 903 903
0.02 0 0 2700 903 903
0.0225 0 0 2700 903 903
0.025 0 0 1850 529.5 452
0.0275 0 0 1000 156 1
0.03 0 0 1000 156 1
0.0325 0 0 1000 156 1
0.035 0 0 1000 156 1
0.0375 0 0 1000 156 1
0.04 0 0 1000 156 1
0.0425 0 0 1000 156 1
0.045 0 0 1000 156 1
0.0475 0 0 1000 156 1
0.05 0 0 1000 156 1
0 0.0025 0 1000 156 1
0.0025 0.0025 0 1000 156 1
0.005 0.0025 0 1000 156 1
0.0075 0.0025 0 1000 156 1
0.01 0.0025 0 1000 156 1
0.0125 0.0025 0 1000 156 1
0.015 0.0025 0 1850 529.5 452
0.0175 0.0025 0 2700 903 903
0.02 0.0025 0 2700 903 903
0.0225 0.0025 0 2700 903 903
0.025 0.0025 0 1850 529.5 452
0.0275 0.0025 0 1000 156 1
0.03 0.0025 0 1000 156 1
0.0325 0.0025 0 1000 156 1
0.035 0.0025 0 1000 156 1
0.0375 0.0025 0 1850 529.5 452
0.04 0.0025 0 1850 529.5 452
0.0425 0.0025 0 1850 529.5 452
0.045 0.0025 0 1000 156 1
0.0475 0.0025 0 1000 156 1
0.05 0.0025 0 1000 156 1
0 0.005 0 1000 156 1
0.0025 0.005 0 1000 156 1
0.005 0.005 0 1000 156 1
0.0075 0.005 0 1000 156 1
0.01 0.005 0 1000 156 1
0.0125 0.005 0 1000 156 1
0.015 0.005 0 1850 529.5 452
0.0175 0.005 0 1850 529.5 452
0.02 0.005 0 1850 529.5 452
0.0225 0.005 0 1850 529.5 452
0.025 0.005 0 1850 529.5 452
0.0275 0.005 0 1000 156 1
0.03 0.005 0 1000 156 1
0.0325 0.005 0 1000 156 1
0.035 0.005 0 1850 529.5 452
0.0375 0.005 0 1850 529.5 452
0.04 0.005 0 1850 529.5 452
0.0425 0.005 0 1850 529.5 452
0.045 0.005 0 1850 529.5 452
0.0475 0.005 0 1000 156 1
0.05 0.005 0 1000 156 1
0 0.0075 0 1000 156 1
0.0025 0.0075 0 1000 156 1
0.005 0.0075 0 1000 156 1
0.0075 0.0075 0 1000 156 1
0.01 0.0075 0 1000 156 1
0.0125 0.0075 0 1000 156 1
0.015 0.0075 0 1000 156 1
0.0175 0.0075 0 1000 156 1
0.02 0.0075 0 1000 156 1
0.0225 0.0075 0 1000 156 1
0.025 0.0075 0 1000 156 1
0.0275 0.0075 0 1000 156 1
0.03 0.0075 0 1000 156 1
0.0325 0.0075 0 1000 156 1
0.035 0.0075 0 1850 529.5 452
0.0375 0.0075 0 1850 529.5 452
0.04 0.0075 0 2700 903 903
0.0425 0.0075 0 1850 529.5 452
0.045 0.0075 0 1850 529.5 452
0.0475 0.0075 0 1000 156 1
0.05 0.0075 0 1000 156 1
0 0.01 0 1000 156 1
0.0025 0.01 0 1000 156 1
0.005 0.01 0 1000 156 1
0.0075 0.01 0 1000 156 1
0.01 0.01 0 1000 156 1
0.0125 0.01 0 1000 156 1
0.015 0.01 0 1000 156 1
0.0175 0.01 0 1000 156 1
0.02 0.01 0 1000 156 1
0.0225 0.01 0 1000 156 1
0.025 0.01 0 1850 529.5 452
0.0275 0.01 0 1000 156 1
0.03 0.01 0 1000 156 1
0.0325 0.01 0 1000 156 1
0.035 0.01 0 1850 529.5 452
0.0375 0.01 0 1850 529.5 452
0.04 0.01 0 1850 529.5 452
0.0425 0.01 0 1850 529.5 452
0.045 0.01 0 1850 529.5 452
0.0475 0.01 0 1000 156 1
0.05 0.01 0 1000 156 1
0 0.0125 0 1000 156 1
0.0025 0.0125 0 1000 156 1
0.005 0.0125 0 1850 529.5 452
0.0075 0.0125 0 1000 156 1
0.01 0.0125 0 1000 156 1
0.0125 0.0125 0 1000 156 1
0.015 0.0125 0 1000 156 1
0.0175 0.0125 0 1000 156 1
0.02 0.0125 0 1000 156 1
0.0225 0.0125 0 1000 156 1
0.025 0.0125 0 1000 156 1
0.0275 0.0125 0 1000 156 1
0.03 0.0125 0 1850 529.5 452
0.0325 0.0125 0 1850 529.5 452
0.035 0.0125 0 2700 903 903
0.0375 0.0125 0 1850 529.5 452
0.04 0.0125 0 2700 903 903
0.0425 0.0125 0 1850 529.5 452
0.045 0.0125 0 1850 529.5 452
0.0475 0.0125 0 1000 156 1
0.05 0.0125 0 1000 156 1
0 0.015 0 1850 529.5 452
0.0025 0.015 0 1850 529.5 452
0.005 0.015 0 2700 903 903
0.0075 0.015 0 1850 529.5 452
0.01 0.015 0 1850 529.5 452
0.0125 0.015 0 1000 156 1
0.015 0.015 0 1000 156 1
0.0175 0.015 0 1000 156 1
0.02 0.015 0 1000 156 1
0.0225 0.015 0 1000 156 1
0.025 0.015 0 1000 156 1
0.0275 0.015 0 1000 156 1
0.03 0.015 0 1850 529.5 452
0.0325 0.015 0 2700 903 903
0.035 0.015 0 2700 903 903
0.0375 0.015 0 2700 903 903
0.04 0.015 0 2700 903 903
