X Y Z T
0 0 0 300
0.0025 0 0 300
0.005 0 0 300
0.0075 0 0 300
0.01 0 0 300
0.0125 0 0 300
0.015 0 0 300
0.0175 0 0 300
0.02 0 0 300
0.0225 0 0 300
0.025 0 0 300
0.0275 0 0 300
0.03 0 0 300
0.0325 0 0 300
0.035 0 0 300
0.0375 0 0 300
0.04 0 0 300
0.0425 0 0 300
0.045 0 0 300
0.0475 0 0 300
0.05 0 0 300
0 0.0025 0 300
0.0025 0.0025 0 300
0.005 0.0025 0 300
0.0075 0.0025 0 300
0.01 0.0025 0 300
0.0125 0.0025 0 300
0.015 0.0025 0 300
0.0175 0.0025 0 300
0.02 0.0025 0 300
0.0225 0.0025 0 300
0.025 0.0025 0 300
0.0275 0.0025 0 300
0.03 0.0025 0 300
0.0325 0.0025 0 300
0.035 0.0025 0 300
0.0375 0.0025 0 300
0.04 0.0025 0 300
0.0425 0.0025 0 300
0.045 0.0025 0 300
0.0475 0.0025 0 300
0.05 0.0025 0 300
0 0.005 0 300
0.0025 0.005 0 300
0.005 0.005 0 300
0.0075 0.005 0 300
0.01 0.005 0 300
0.0125 0.005 0 300
0.015 0.005 0 300
0.0175 0.005 0 300
0.02 0.005 0 300
0.0225 0.005 0 300
0.025 0.005 0 300
0.0275 0.005 0 300
0.03 0.005 0 300
0.0325 0.005 0 300
0.035 0.005 0 300
0.0375 0.005 0 300
0.04 0.005 0 300
0.0425 0.005 0 300
0.045 0.005 0 300
0.0475 0.005 0 300
0.05 0.005 0 300
0 0.0075 0 300
0.0025 0.0075 0 300
0.005 0.0075 0 300
0.0075 0.0075 0 300
0.01 0.0075 0 300
0.0125 0.0075 0 300
0.015 0.0075 0 300
0.0175 0.0075 0 300
0.02 0.0075 0 300
0.0225 0.0075 0 300
0.025 0.0075 0 300
0.0275 0.0075 0 300
0.03 0.0075 0 300
0.0325 0.0075 0 300
0.035 0.0075 0 300
0.0375 0.0075 0 300
0.04 0.0075 0 300
0.0425 0.0075 0 300
0.045 0.0075 0 300
0.0475 0.0075 0 300
0.05 0.0075 0 300
0 0.01 0 300
0.0025 0.01 0 300
0.005 0.01 0 300
0.0075 0.01 0 300
0.01 0.01 0 300
0.0125 0.01 0 300
0.015 0.01 0 300
0.0175 0.01 0 300
0.02 0.01 0 300
0.0225 0.01 0 300
0.025 0.01 0 300
0.0275 0.01 0 300
0.03 0.01 0 300
0.0325 0.01 0 300
0.035 0.01 0 300
0.0375 0.01 0 300
0.04 0.01 0 300
0.0425 0.01 0 300
0.045 0.01 0 300
0.0475 0.01 0 300
0.05 0.01 0 300
0 0.0125 0 300
0.0025 0.0125 0 300
0.005 0.0125 0 300
0.0075 0.0125 0 300
0.01 0.0125 0 300
0.0125 0.0125 0 300
0.015 0.0125 0 300
0.0175 0.0125 0 300
0.02 0.0125 0 300
0.0225 0.0125 0 300
0.025 0.0125 0 300
0.0275 0.0125 0 300
0.03 0.0125 0 300
0.0325 0.0125 0 300
0.035 0.0125 0 300
0.0375 0.0125 0 300
0.04 0.0125 0 300
0.0425 0.0125 0 300
0.045 0.0125 0 300
0.0475 0.0125 0 300
0.05 0.0125 0 300
0 0.015 0 300
0.0025 0.015 0 300
0.005 0.015 0 300
0.0075 0.015 0 300
0.01 0.015 0 300
0.0125 0.015 0 300
0.015 0.015 0 300
0.0175 0.015 0 300
0.02 0.015 0 300
0.0225 0.015 0 300
0.025 0.015 0 300
0.0275 0.015 0 300
0.03 0.015 0 300
0.0325 0.015 0 300
0.035 0.015 0 300
0.0375 0.015 0 300
0.04 0.015 0 300
0.0425 0.015 0 300
0.045 0.015 0 300
0.0475 0.015 0 300
0.05 0.015 0 300
0 0.0175 0 300
0.0025 0.0175 0 300
0.005 0.0175 0 300
0.0075 0.0175 0 300
0.01 0.0175 0 300
0.0125 0.0175 0 300
0.015 0.0175 0 300
0.0175 0.0175 0 300
0.02 0.0175 0 300
0.0225 0.0175 0 300
0.025 0.0175 0 300
0.0275 0.0175 0 300
0.03 0.0175 0 300
0.0325 0.0175 0 300
0.035 0.0175 0 300
0.0375 0.0175 0 300
0.04 0.0175 0 300
0.0425 0.0175 0 300
0.045 0.0175 0 300
0.0475 0.0175 0 300
0.05 0.0175 0 300
0 0.02 0 300
0.0025 0.02 0 300
0.005 0.02 0 300
0.0075 0.02 0 300
0.01 0.02 0 300
0.0125 0.02 0 300
0.015 0.02 0 300
0.0175 0.02 0 300
0.02 0.02 0 300
0.0225 0.02 0 300
0.025 0.02 0 300
0.0275 0.02 0 300
0.03 0.02 0 300
0.0325 0.02 0 300
0.035 0.02 0 300
0.0375 0.02 0 300
0.04 0.02 0 300
0.0425 0.02 0 300
0.045 0.02 0 300
0.0475 0.02 0 300
0.05 0.02 0 300
